gateway,gw_lat,gw_lon,gw_elevation
7276ff002e0507da,16.07405662536621,108.15251922607422,14.0
7276ff002e0507da,16.074058532714844,108.15245056152344,14.0
7276ff002e0507da,16.074060440063477,108.15245819091795,14.0
7276ff002e0507da,16.074060440063477,108.15250396728516,14.0
7276ff002e0507da,16.07406234741211,108.15255737304688,14.0
7276ff002e0507da,16.074066162109375,108.15250396728516,14.0
7276ff002e0507da,16.074066162109375,108.1525421142578,14.0
7276ff002e0507da,16.074066162109375,108.1526107788086,14.0
7276ff002e0507da,16.074068069458008,108.15255737304688,14.0
7276ff002e0507da,16.074068069458008,108.15267181396484,15.0
7276ff002e0507da,16.07406997680664,108.1525650024414,14.0
7276ff002e0507da,16.074073791503906,108.15254974365234,14.0
7276ff002e0507da,16.074079513549805,108.15250396728516,14.0
7276ff002e0507da,16.074079513549805,108.15251159667967,14.0
7276ff002e0507da,16.074081420898438,108.15253448486328,14.0
7276ff002e0507da,16.074081420898438,108.1525421142578,14.0
7276ff002e0507da,16.074081420898438,108.15258026123048,14.0
7276ff002e0507da,16.07408332824707,108.1524658203125,14.0
7276ff002e0507da,16.07408332824707,108.1524887084961,14.0
7276ff002e0507da,16.07408332824707,108.15254974365234,14.0
7276ff002e0507da,16.0740909576416,108.15243530273438,14.0
7276ff002e0507da,16.0740909576416,108.15250396728516,14.0
7276ff002e0507da,16.0740909576416,108.15254974365234,14.0
7276ff002e0507da,16.074092864990234,108.15242767333984,14.0
7276ff002e0507da,16.074092864990234,108.1524658203125,14.0
7276ff002e0507da,16.074092864990234,108.15252685546876,14.0
7276ff002e0507da,16.0740935,108.1524913,14.0
7276ff002e0507da,16.074094772338867,108.15262603759766,14.0
7276ff002e0507da,16.074098587036133,108.15254974365234,14.0
7276ff002e0507da,16.074098587036133,108.15257263183594,14.0
7276ff002e0507da,16.074098587036133,108.152587890625,14.0
7276ff002e0507da,16.074098587036133,108.15261840820312,14.0
7276ff002e0507da,16.074100494384766,108.15253448486328,14.0
7276ff002e0507da,16.074100494384766,108.15258026123048,14.0
7276ff002e0507da,16.074108123779297,108.15253448486328,14.0
7276ff002e0507da,16.07411003112793,108.15258026123048,14.0
7276ff002e0507da,16.074111938476562,108.15262603759766,14.0
7276ff002e0507da,16.074121475219727,108.15243530273438,14.0
7276ff002e0507da,16.07413101196289,108.15240478515624,14.0
7276ff002e0507da,16.07413101196289,108.15265655517578,15.0
7276ff002e0507da,16.074138641357422,108.15253448486328,14.0
7276ff002e0507da,16.074138641357422,108.1526870727539,15.0
7276ff002e0507da,16.074142456054688,108.1526107788086,14.0
7276ff002e0507da,16.074146270751953,108.15251922607422,14.0
7276ff002e0507da,16.07415008544922,108.15251159667967,14.0
7276ff002e0507da,16.074155807495117,108.15250396728516,14.0
7276ff002e0507da,16.07415771484375,108.1523895263672,14.0
7276ff002e0507da,16.07415771484375,108.15254974365234,14.0
7276ff002e0507da,16.074167251586914,108.15249633789062,14.0
7276ff002e0507da,16.074188232421875,108.15249633789062,14.0
7276ff002e0507da,16.07419776916504,108.15262603759766,14.0
7276ff002e0507da,16.074235916137695,108.15261840820312,14.0
7276ff002e0507da,16.07423973083496,108.15264129638672,15.0
7276ff002e0507da,16.074256896972656,108.1526336669922,14.0
7276ff002e0507da,16.07425880432129,108.15264892578124,15.0
7276ff002e0507da,16.074424743652344,108.15179443359376,13.0
7276ff002e06029f,16.0659959,108.1532551,10.0
7276ff002e06029f,16.074071884155273,108.15242767333984,14.0
7276ff002e06029f,16.074073791503906,108.15242004394533,14.0
7276ff002e06029f,16.074073791503906,108.15243530273438,14.0
7276ff002e06029f,16.07407569885254,108.15242004394533,14.0
7276ff002e06029f,16.07407569885254,108.15242767333984,14.0
7276ff002e06029f,16.07407569885254,108.15243530273438,14.0
7276ff002e06029f,16.074079513549805,108.15245056152344,14.0
7276ff002e06029f,16.074079513549805,108.1524887084961,14.0
7276ff002e06029f,16.074081420898438,108.15240478515624,14.0
7276ff002e06029f,16.07408332824707,108.15241241455078,14.0
7276ff002e06029f,16.07408332824707,108.1524658203125,14.0
7276ff002e06029f,16.074085235595703,108.15239715576172,14.0
7276ff002e06029f,16.074085235595703,108.15242004394533,14.0
7276ff002e06029f,16.074085235595703,108.15245056152344,14.0
7276ff002e06029f,16.074085235595703,108.15245819091795,14.0
7276ff002e06029f,16.074087142944336,108.15241241455078,14.0
7276ff002e06029f,16.07408905029297,108.1524658203125,14.0
7276ff002e06029f,16.0740909576416,108.15237426757812,14.0
7276ff002e06029f,16.074092864990234,108.15242767333984,14.0
7276ff002e06029f,16.074092864990234,108.1524429321289,14.0
7276ff002e06029f,16.0740966796875,108.15242767333984,14.0
7276ff002e06029f,16.074100494384766,108.15242004394533,14.0
7276ff002e06029f,16.0741024017334,108.15239715576172,14.0
7276ff002e06029f,16.0741024017334,108.15241241455078,14.0
7276ff002e06029f,16.07410430908203,108.15243530273438,14.0
7276ff002e06029f,16.074106216430664,108.15241241455078,14.0
7276ff002e06029f,16.074106216430664,108.1524429321289,14.0
7276ff002e06029f,16.074108123779297,108.15240478515624,14.0
7276ff002e06029f,16.074108123779297,108.15242767333984,14.0
7276ff002e06029f,16.074111938476562,108.15242004394533,14.0
7276ff002e06029f,16.074111938476562,108.15245056152344,14.0
7276ff002e06029f,16.07411766052246,108.15243530273438,14.0
7276ff002e06029f,16.074119567871094,108.15241241455078,14.0
7276ff002e06029f,16.07412338256836,108.15242004394533,14.0
7276ff002e06029f,16.07412338256836,108.15242767333984,14.0
7276ff002e06029f,16.074127197265625,108.15242004394533,14.0
7276ff002e06029f,16.074129104614258,108.15243530273438,14.0
7276ff002e06029f,16.07413101196289,108.15242767333984,14.0
