device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor
board01,16.074126999999997,108.15130199999999,a840411eebb44150,16.0740984,108.15253,-110,-17.5,2026-02-04T07:43:21.053105+00:00,922200000,125000,12
board01,16.0729976,108.1501795,a840411eebb44150,16.0740984,108.15253,-107,-14.2,2026-02-04T04:58:06.018289+00:00,922200000,125000,12
board01,16.0737064,108.15210220000002,a840411eebb44150,16.0740984,108.15253,-81,3.0,2026-02-04T04:57:36.027923+00:00,922200000,125000,12
board01,16.074542100000002,108.15432420000002,a840411eebb44150,16.0740984,108.15253,-94,-4.0,2026-02-04T04:57:06.026441+00:00,922200000,125000,12
board01,16.0743297,108.15254870000001,a840411eebb44150,16.0740984,108.15253,-68,7.8,2026-02-04T01:07:52.078809+00:00,922200000,125000,12
board01,16.0743896,108.152728,a840411eebb44150,16.0740984,108.15253,-84,9.2,2026-02-04T01:07:38.089788+00:00,922200000,125000,12
board01,16.0743253,108.1530352,a840411eebb44150,16.0740984,108.15253,-74,5.0,2026-02-04T01:07:24.086810+00:00,922200000,125000,12
board01,16.074277799999997,108.1534535,a840411eebb44150,16.0740984,108.15253,-89,2.2,2026-02-04T01:07:10.094458+00:00,922200000,125000,12
board01,16.074740400000003,108.15467809999998,a840411eebb44150,16.0740984,108.15253,-102,-11.8,2026-02-04T01:06:56.093964+00:00,922200000,125000,12
board01,16.0747681,108.1549429,a840411eebb44150,16.0740984,108.15253,-110,-17.2,2026-02-03T06:13:13.092665+00:00,922200000,125000,12
board01,16.074229300000002,108.1535085,a840411eebb44150,16.0740984,108.15253,-87,-2.0,2026-02-03T06:12:58.991735+00:00,922200000,125000,12
board01,16.074229199999998,108.1530774,a840411eebb44150,16.0740984,108.15253,-80,6.0,2026-02-03T06:12:45.004779+00:00,922200000,125000,12
board01,16.074643000000002,108.1533347,a840411eebb44150,16.0740984,108.15253,-90,-2.5,2026-02-03T06:12:29.999594+00:00,922200000,125000,12
board01,16.0745048,108.15235419999999,a840411eebb44150,16.0740984,108.15253,-89,1.8,2026-02-03T06:12:14.998395+00:00,922200000,125000,12
board01,16.0742,108.1515469,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-111,-16.0,2026-02-03T06:11:59.998498+00:00,922200000,125000,12
board01,16.0742,108.1515469,a840411eebb44150,16.0740984,108.15253,-104,-11.5,2026-02-03T06:11:59.998498+00:00,922200000,125000,12
board01,16.073681,108.15010709999999,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-112,-19.5,2026-02-03T06:11:45.211404694+00:00,922200000,125000,12
board01,16.0757908,108.1487946,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-111,-14.8,2026-02-03T06:11:15.216565666+00:00,922200000,125000,12
board01,16.0772089,108.14817480000002,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-109,-19.2,2026-02-03T06:11:00.221650778+00:00,922200000,125000,12
board01,16.0773078,108.1481276,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-111,-21.2,2026-02-03T06:10:45.221666691+00:00,922200000,125000,12
board01,16.077340600000003,108.14811259999999,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-112,-18.5,2026-02-03T06:10:15.233164343+00:00,922200000,125000,12
board01,16.0780588,108.14779109999999,a84041ffff1ec39f,16.091299730870233,108.21745634078981,-112,-20.0,2026-02-03T06:10:00.230449741+00:00,922200000,125000,12
board01,16.074484899999998,108.15202260000001,a840411eebb44150,16.0740984,108.15253,-94,-2.5,2026-02-03T04:40:14.000383+00:00,922200000,125000,12
board01,16.074681400000003,108.1524725,a840411eebb44150,16.0740984,108.15253,-79,1.8,2026-02-03T04:39:59.009523+00:00,922200000,125000,12
board01,16.0745892,108.15324660000002,a840411eebb44150,16.0740984,108.15253,-98,-5.2,2026-02-03T04:39:44.008546+00:00,922200000,125000,12
board01,16.0744079,108.15291870000001,a840411eebb44150,16.0740984,108.15253,-87,5.8,2026-02-03T04:39:29.010644+00:00,922200000,125000,12
board01,16.0745147,108.1529984,a840411eebb44150,16.0740984,108.15253,-90,4.0,2026-02-03T01:13:38.071764+00:00,922200000,125000,12
board01,16.074469099999998,108.15293679999999,a840411eebb44150,16.0740984,108.15253,-90,3.8,2026-02-03T01:13:23.079644+00:00,922200000,125000,12
board01,16.0743456,108.1530397,a840411eebb44150,16.0740984,108.15253,-87,4.0,2026-02-03T01:13:08.080103+00:00,922200000,125000,12
board01,16.074285200000002,108.15352779999998,a840411eebb44150,16.0740984,108.15253,-81,1.5,2026-02-03T01:12:53.077629+00:00,922200000,125000,12
board01,16.074788199999997,108.15483190000002,a840411eebb44150,16.0740984,108.15253,-98,-3.5,2026-02-03T01:12:37.980118+00:00,922200000,125000,12
board01,16.07434,108.1526034,a840411eebb44150,16.0740984,108.15253,-67,11.2,2026-02-02T07:06:44.980871+00:00,922200000,125000,12
board01,16.074348699999998,108.15260629999997,a840411eebb44150,16.0740984,108.15253,-59,11.8,2026-02-02T07:06:30.981755+00:00,922200000,125000,12
